"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "Markdown", "Ini", "comment", "blank", "total"
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-plugin.php", "PHP", 0, 49, 0, 0, 0, 0, 96, 14, 159
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-pricing.php", "PHP", 0, 54, 0, 0, 0, 0, 86, 17, 157
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-scope-entity.php", "PHP", 0, 11, 0, 0, 0, 0, 15, 3, 29
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-site.php", "PHP", 0, 90, 0, 0, 0, 0, 129, 17, 236
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-subscription.php", "PHP", 0, 48, 0, 0, 0, 0, 87, 12, 147
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-user.php", "PHP", 0, 30, 0, 0, 0, 0, 39, 10, 79
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\fs-core-functions.php", "PHP", 0, 666, 0, 0, 0, 0, 596, 154, 1416
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\fs-essential-functions.php", "PHP", 0, 255, 0, 0, 0, 0, 168, 77, 500
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\fs-plugin-info-dialog.php", "PHP", 0, 1173, 0, 0, 0, 0, 283, 189, 1645
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\i18n.php", "PHP", 0, 542, 0, 0, 0, 0, 47, 17, 606
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\l10n.php", "PHP", 0, 12, 0, 0, 0, 0, 33, 4, 49
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-admin-menu-manager.php", "PHP", 0, 426, 0, 0, 0, 0, 460, 120, 1006
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-admin-notice-manager.php", "PHP", 0, 226, 0, 0, 0, 0, 196, 50, 472
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-cache-manager.php", "PHP", 0, 134, 0, 0, 0, 0, 144, 48, 326
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-gdpr-manager.php", "PHP", 0, 80, 0, 0, 0, 0, 101, 21, 202
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-key-value-storage.php", "PHP", 0, 167, 0, 0, 0, 0, 171, 54, 392
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-license-manager.php", "PHP", 0, 17, 0, 0, 0, 0, 83, 4, 104
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-option-manager.php", "PHP", 0, 239, 0, 0, 0, 0, 205, 78, 522
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-plan-manager.php", "PHP", 0, 69, 0, 0, 0, 0, 74, 19, 162
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\class-fs-plugin-manager.php", "PHP", 0, 94, 0, 0, 0, 0, 96, 30, 220
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\managers\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\ArgumentNotExistException.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\EmptyArgumentException.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\Exception.php", "PHP", 0, 44, 0, 0, 0, 0, 19, 11, 74
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\InvalidArgumentException.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\OAuthException.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\FreemiusBase.php", "PHP", 0, 113, 0, 0, 0, 0, 80, 23, 216
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\FreemiusWordPress.php", "PHP", 0, 410, 0, 0, 0, 0, 202, 100, 712
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\supplements\fs-essential-functions-1.1.7.1.php", "PHP", 0, 16, 0, 0, 0, 0, 22, 6, 44
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\supplements\fs-essential-functions-2.2.1.php", "PHP", 0, 25, 0, 0, 0, 0, 14, 6, 45
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\supplements\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\languages\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 1, 28
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\require.php", "PHP", 0, 37, 0, 0, 0, 0, 9, 3, 49
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\start.php", "PHP", 0, 249, 0, 0, 0, 0, 212, 69, 530
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account.php", "PHP", 0, 921, 0, 0, 0, 0, 60, 115, 1096
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\billing.php", "PHP", 0, 390, 0, 0, 0, 0, 12, 21, 423
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\partials\activate-license-button.php", "PHP", 0, 37, 0, 0, 0, 0, 12, 5, 54
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\partials\addon.php", "PHP", 0, 386, 0, 0, 0, 0, 19, 41, 446
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\partials\deactivate-license-button.php", "PHP", 0, 21, 0, 0, 0, 0, 11, 4, 36
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\partials\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
